"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",29,830,4,863,2021-03-07
"20 - 24",4,284,0,288,2021-03-07
"25 - 29",12,480,2,494,2021-03-07
"30 - 34",23,663,5,691,2021-03-07
"35 - 39",24,769,8,801,2021-03-07
"40 - 44",37,1029,8,1074,2021-03-07
"45 - 49",48,1704,21,1773,2021-03-07
"50 - 54",83,2730,57,2870,2021-03-07
"55 - 59",95,3410,88,3593,2021-03-07
"60 - 64",125,3708,181,4014,2021-03-07
"65 - 69",140,3577,379,4096,2021-03-07
"70 - 74",185,4436,777,5398,2021-03-07
"75 - 79",210,4294,1291,5795,2021-03-07
"80 - 84",175,3695,1605,5475,2021-03-07
"85 - 89",94,2337,1267,3698,2021-03-07
">90",38,1012,512,1562,2021-03-07
