"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",28,1276,6,1310,2021-07-04
"20 - 24",1,429,3,433,2021-07-04
"25 - 29",7,725,2,734,2021-07-04
"30 - 34",3,1081,10,1094,2021-07-04
"35 - 39",7,1273,11,1291,2021-07-04
"40 - 44",10,1624,12,1646,2021-07-04
"45 - 49",10,2766,25,2801,2021-07-04
"50 - 54",34,4332,73,4439,2021-07-04
"55 - 59",23,5327,128,5478,2021-07-04
"60 - 64",18,5332,239,5589,2021-07-04
"65 - 69",25,5287,500,5812,2021-07-04
"70 - 74",39,6232,1056,7327,2021-07-04
"75 - 79",30,5844,1723,7597,2021-07-04
"80 - 84",26,4548,1957,6531,2021-07-04
"85 - 89",23,2783,1442,4248,2021-07-04
">90",7,1218,602,1827,2021-07-04
