"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",25,760,4,789,2021-02-08
"20 - 24",4,254,0,258,2021-02-08
"25 - 29",11,450,2,463,2021-02-08
"30 - 34",21,597,3,621,2021-02-08
"35 - 39",28,696,8,732,2021-02-08
"40 - 44",23,913,8,944,2021-02-08
"45 - 49",50,1520,20,1590,2021-02-08
"50 - 54",83,2439,51,2573,2021-02-08
"55 - 59",124,3023,76,3223,2021-02-08
"60 - 64",138,3329,157,3624,2021-02-08
"65 - 69",156,3215,330,3701,2021-02-08
"70 - 74",216,3983,687,4886,2021-02-08
"75 - 79",278,3842,1144,5264,2021-02-08
"80 - 84",228,3256,1438,4922,2021-02-08
"85 - 89",139,2077,1123,3339,2021-02-08
">90",75,886,451,1412,2021-02-08
