"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",30,1275,6,1311,2021-07-03
"20 - 24",1,429,3,433,2021-07-03
"25 - 29",8,725,2,735,2021-07-03
"30 - 34",3,1081,10,1094,2021-07-03
"35 - 39",7,1273,11,1291,2021-07-03
"40 - 44",9,1624,12,1645,2021-07-03
"45 - 49",10,2766,25,2801,2021-07-03
"50 - 54",35,4332,73,4440,2021-07-03
"55 - 59",23,5327,128,5478,2021-07-03
"60 - 64",17,5332,239,5588,2021-07-03
"65 - 69",26,5286,500,5812,2021-07-03
"70 - 74",41,6231,1056,7328,2021-07-03
"75 - 79",31,5844,1723,7598,2021-07-03
"80 - 84",27,4547,1957,6531,2021-07-03
"85 - 89",23,2783,1442,4248,2021-07-03
">90",7,1218,602,1827,2021-07-03
