"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",34,1117,6,1157,2021-05-12
"20 - 24",10,372,1,383,2021-05-12
"25 - 29",13,654,2,669,2021-05-12
"30 - 34",35,968,10,1013,2021-05-12
"35 - 39",32,1129,10,1171,2021-05-12
"40 - 44",45,1461,11,1517,2021-05-12
"45 - 49",82,2457,24,2563,2021-05-12
"50 - 54",154,3839,70,4063,2021-05-12
"55 - 59",174,4791,121,5086,2021-05-12
"60 - 64",146,4960,219,5325,2021-05-12
"65 - 69",181,4860,475,5516,2021-05-12
"70 - 74",236,5855,991,7082,2021-05-12
"75 - 79",200,5542,1661,7403,2021-05-12
"80 - 84",130,4369,1887,6386,2021-05-12
"85 - 89",57,2679,1417,4153,2021-05-12
">90",35,1158,587,1780,2021-05-12
