"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",38,1058,5,1101,2021-04-28
"20 - 24",7,354,1,362,2021-04-28
"25 - 29",14,616,2,632,2021-04-28
"30 - 34",30,884,9,923,2021-04-28
"35 - 39",47,1021,9,1077,2021-04-28
"40 - 44",41,1352,11,1404,2021-04-28
"45 - 49",93,2254,24,2371,2021-04-28
"50 - 54",117,3553,66,3736,2021-04-28
"55 - 59",164,4432,113,4709,2021-04-28
"60 - 64",191,4651,213,5055,2021-04-28
"65 - 69",236,4520,446,5202,2021-04-28
"70 - 74",271,5543,945,6759,2021-04-28
"75 - 79",256,5263,1597,7116,2021-04-28
"80 - 84",128,4273,1838,6239,2021-04-28
"85 - 89",59,2633,1396,4088,2021-04-28
">90",31,1137,575,1743,2021-04-28
