"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",30,898,4,932,2021-03-22
"20 - 24",8,293,1,302,2021-03-22
"25 - 29",19,504,2,525,2021-03-22
"30 - 34",16,717,6,739,2021-03-22
"35 - 39",31,818,8,857,2021-03-22
"40 - 44",49,1088,8,1145,2021-03-22
"45 - 49",76,1819,21,1916,2021-03-22
"50 - 54",117,2907,59,3083,2021-03-22
"55 - 59",148,3624,94,3866,2021-03-22
"60 - 64",156,3928,187,4271,2021-03-22
"65 - 69",170,3794,398,4362,2021-03-22
"70 - 74",221,4680,823,5724,2021-03-22
"75 - 79",240,4526,1373,6139,2021-03-22
"80 - 84",177,3876,1670,5723,2021-03-22
"85 - 89",90,2445,1304,3839,2021-03-22
">90",38,1048,530,1616,2021-03-22
