"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",25,480,2,507,2020-11-03
"20 - 24",13,138,0,151,2020-11-03
"25 - 29",14,275,1,290,2020-11-03
"30 - 34",16,334,3,353,2020-11-03
"35 - 39",25,410,5,440,2020-11-03
"40 - 44",45,514,3,562,2020-11-03
"45 - 49",54,867,14,935,2020-11-03
"50 - 54",125,1320,34,1479,2020-11-03
"55 - 59",124,1556,43,1723,2020-11-03
"60 - 64",176,1686,82,1944,2020-11-03
"65 - 69",214,1605,160,1979,2020-11-03
"70 - 74",280,1977,360,2617,2020-11-03
"75 - 79",316,1833,590,2739,2020-11-03
"80 - 84",308,1453,705,2466,2020-11-03
"85 - 89",182,930,534,1646,2020-11-03
">90",75,389,193,657,2020-11-03
