"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,1154,6,1193,2021-05-21
"20 - 24",10,392,2,404,2021-05-21
"25 - 29",17,670,2,689,2021-05-21
"30 - 34",16,1009,10,1035,2021-05-21
"35 - 39",24,1178,10,1212,2021-05-21
"40 - 44",35,1509,11,1555,2021-05-21
"45 - 49",65,2564,24,2653,2021-05-21
"50 - 54",117,4026,71,4214,2021-05-21
"55 - 59",132,4989,125,5246,2021-05-21
"60 - 64",120,5086,227,5433,2021-05-21
"65 - 69",134,5050,481,5665,2021-05-21
"70 - 74",161,6023,1013,7197,2021-05-21
"75 - 79",156,5652,1681,7489,2021-05-21
"80 - 84",99,4428,1906,6433,2021-05-21
"85 - 89",42,2716,1425,4183,2021-05-21
">90",24,1182,592,1798,2021-05-21
