"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",30,887,4,921,2021-03-18
"20 - 24",5,291,1,297,2021-03-18
"25 - 29",21,492,2,515,2021-03-18
"30 - 34",21,706,6,733,2021-03-18
"35 - 39",31,807,8,846,2021-03-18
"40 - 44",42,1072,8,1122,2021-03-18
"45 - 49",56,1786,21,1863,2021-03-18
"50 - 54",111,2849,58,3018,2021-03-18
"55 - 59",125,3568,93,3786,2021-03-18
"60 - 64",137,3876,185,4198,2021-03-18
"65 - 69",167,3732,393,4292,2021-03-18
"70 - 74",227,4619,805,5651,2021-03-18
"75 - 79",200,4481,1347,6028,2021-03-18
"80 - 84",186,3831,1653,5670,2021-03-18
"85 - 89",98,2416,1297,3811,2021-03-18
">90",39,1042,526,1607,2021-03-18
