"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",43,974,5,1022,2021-04-10
"20 - 24",5,325,1,331,2021-04-10
"25 - 29",11,560,2,573,2021-04-10
"30 - 34",33,794,7,834,2021-04-10
"35 - 39",43,919,9,971,2021-04-10
"40 - 44",41,1219,10,1270,2021-04-10
"45 - 49",79,2027,24,2130,2021-04-10
"50 - 54",122,3247,63,3432,2021-04-10
"55 - 59",159,4018,105,4282,2021-04-10
"60 - 64",174,4341,205,4720,2021-04-10
"65 - 69",206,4133,423,4762,2021-04-10
"70 - 74",239,5129,883,6251,2021-04-10
"75 - 79",245,4884,1495,6624,2021-04-10
"80 - 84",157,4103,1766,6026,2021-04-10
"85 - 89",79,2557,1358,3994,2021-04-10
">90",30,1102,560,1692,2021-04-10
