"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",28,763,4,795,2021-01-16
"20 - 24",7,239,0,246,2021-01-16
"25 - 29",18,410,3,431,2021-01-16
"30 - 34",25,550,3,578,2021-01-16
"35 - 39",27,651,9,687,2021-01-16
"40 - 44",29,845,6,880,2021-01-16
"45 - 49",49,1396,19,1464,2021-01-16
"50 - 54",94,2217,49,2360,2021-01-16
"55 - 59",105,2723,67,2895,2021-01-16
"60 - 64",157,2958,137,3252,2021-01-16
"65 - 69",170,2927,286,3383,2021-01-16
"70 - 74",267,3545,607,4419,2021-01-16
"75 - 79",268,3466,1018,4752,2021-01-16
"80 - 84",289,2895,1252,4436,2021-01-16
"85 - 89",148,1845,991,2984,2021-01-16
">90",86,779,378,1243,2021-01-16
