"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",36,1128,6,1170,2021-05-14
"20 - 24",11,374,1,386,2021-05-14
"25 - 29",13,656,2,671,2021-05-14
"30 - 34",25,980,10,1015,2021-05-14
"35 - 39",32,1139,10,1181,2021-05-14
"40 - 44",33,1473,11,1517,2021-05-14
"45 - 49",87,2474,24,2585,2021-05-14
"50 - 54",123,3882,70,4075,2021-05-14
"55 - 59",165,4827,121,5113,2021-05-14
"60 - 64",136,4987,219,5342,2021-05-14
"65 - 69",170,4895,476,5541,2021-05-14
"70 - 74",213,5886,996,7095,2021-05-14
"75 - 79",193,5563,1662,7418,2021-05-14
"80 - 84",120,4383,1890,6393,2021-05-14
"85 - 89",59,2686,1417,4162,2021-05-14
">90",24,1164,589,1777,2021-05-14
