"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",31,766,4,801,2021-01-17
"20 - 24",7,240,0,247,2021-01-17
"25 - 29",15,414,3,432,2021-01-17
"30 - 34",20,552,3,575,2021-01-17
"35 - 39",23,653,9,685,2021-01-17
"40 - 44",29,848,6,883,2021-01-17
"45 - 49",53,1400,19,1472,2021-01-17
"50 - 54",97,2227,49,2373,2021-01-17
"55 - 59",107,2735,68,2910,2021-01-17
"60 - 64",156,2972,139,3267,2021-01-17
"65 - 69",172,2942,287,3401,2021-01-17
"70 - 74",275,3559,609,4443,2021-01-17
"75 - 79",252,3482,1028,4762,2021-01-17
"80 - 84",288,2915,1267,4470,2021-01-17
"85 - 89",145,1859,1004,3008,2021-01-17
">90",83,783,381,1247,2021-01-17
