"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",40,944,5,989,2021-04-05
"20 - 24",6,316,1,323,2021-04-05
"25 - 29",16,544,2,562,2021-04-05
"30 - 34",25,771,7,803,2021-04-05
"35 - 39",32,897,9,938,2021-04-05
"40 - 44",48,1181,10,1239,2021-04-05
"45 - 49",84,1974,21,2079,2021-04-05
"50 - 54",125,3146,63,3334,2021-04-05
"55 - 59",155,3907,99,4161,2021-04-05
"60 - 64",175,4219,198,4592,2021-04-05
"65 - 69",203,4015,417,4635,2021-04-05
"70 - 74",238,4993,873,6104,2021-04-05
"75 - 79",260,4772,1458,6490,2021-04-05
"80 - 84",177,4033,1743,5953,2021-04-05
"85 - 89",79,2533,1343,3955,2021-04-05
">90",35,1087,554,1676,2021-04-05
