"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",38,588,3,629,2020-11-28
"20 - 24",7,176,0,183,2020-11-28
"25 - 29",7,328,1,336,2020-11-28
"30 - 34",14,414,3,431,2020-11-28
"35 - 39",27,484,7,518,2020-11-28
"40 - 44",29,641,3,673,2020-11-28
"45 - 49",55,1030,15,1100,2020-11-28
"50 - 54",89,1613,36,1738,2020-11-28
"55 - 59",127,1935,48,2110,2020-11-28
"60 - 64",139,2132,99,2370,2020-11-28
"65 - 69",166,2075,187,2428,2020-11-28
"70 - 74",184,2511,416,3111,2020-11-28
"75 - 79",242,2397,698,3337,2020-11-28
"80 - 84",189,1977,888,3054,2020-11-28
"85 - 89",143,1234,675,2052,2020-11-28
">90",48,517,242,807,2020-11-28
