"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",32,507,2,541,2020-11-09
"20 - 24",6,150,0,156,2020-11-09
"25 - 29",13,290,1,304,2020-11-09
"30 - 34",9,355,3,367,2020-11-09
"35 - 39",22,428,6,456,2020-11-09
"40 - 44",38,551,3,592,2020-11-09
"45 - 49",47,917,14,978,2020-11-09
"50 - 54",85,1415,34,1534,2020-11-09
"55 - 59",116,1655,45,1816,2020-11-09
"60 - 64",145,1813,86,2044,2020-11-09
"65 - 69",182,1728,166,2076,2020-11-09
"70 - 74",204,2147,381,2732,2020-11-09
"75 - 79",287,1985,616,2888,2020-11-09
"80 - 84",274,1598,760,2632,2020-11-09
"85 - 89",168,1006,587,1761,2020-11-09
">90",70,418,207,695,2020-11-09
