"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",28,911,4,943,2021-03-27
"20 - 24",5,305,1,311,2021-03-27
"25 - 29",20,521,2,543,2021-03-27
"30 - 34",21,740,6,767,2021-03-27
"35 - 39",32,851,8,891,2021-03-27
"40 - 44",49,1127,10,1186,2021-03-27
"45 - 49",86,1879,21,1986,2021-03-27
"50 - 54",132,2995,60,3187,2021-03-27
"55 - 59",152,3738,95,3985,2021-03-27
"60 - 64",167,4030,190,4387,2021-03-27
"65 - 69",172,3884,404,4460,2021-03-27
"70 - 74",241,4789,838,5868,2021-03-27
"75 - 79",229,4625,1399,6253,2021-03-27
"80 - 84",182,3935,1692,5809,2021-03-27
"85 - 89",90,2483,1316,3889,2021-03-27
">90",45,1057,540,1642,2021-03-27
