"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",40,1130,6,1176,2021-05-15
"20 - 24",12,374,1,387,2021-05-15
"25 - 29",18,655,2,675,2021-05-15
"30 - 34",25,981,10,1016,2021-05-15
"35 - 39",33,1142,10,1185,2021-05-15
"40 - 44",35,1474,11,1520,2021-05-15
"45 - 49",84,2483,24,2591,2021-05-15
"50 - 54",125,3898,70,4093,2021-05-15
"55 - 59",162,4849,121,5132,2021-05-15
"60 - 64",124,5003,220,5347,2021-05-15
"65 - 69",161,4911,477,5549,2021-05-15
"70 - 74",200,5909,998,7107,2021-05-15
"75 - 79",196,5574,1664,7434,2021-05-15
"80 - 84",109,4390,1890,6389,2021-05-15
"85 - 89",64,2687,1417,4168,2021-05-15
">90",21,1167,589,1777,2021-05-15
