"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",21,787,4,812,2021-01-24
"20 - 24",6,248,0,254,2021-01-24
"25 - 29",15,425,3,443,2021-01-24
"30 - 34",14,570,3,587,2021-01-24
"35 - 39",25,665,9,699,2021-01-24
"40 - 44",34,866,9,909,2021-01-24
"45 - 49",52,1446,19,1517,2021-01-24
"50 - 54",96,2310,50,2456,2021-01-24
"55 - 59",132,2836,70,3038,2021-01-24
"60 - 64",163,3091,142,3396,2021-01-24
"65 - 69",167,3032,301,3500,2021-01-24
"70 - 74",255,3730,638,4623,2021-01-24
"75 - 79",248,3622,1068,4938,2021-01-24
"80 - 84",255,3052,1332,4639,2021-01-24
"85 - 89",159,1934,1046,3139,2021-01-24
">90",75,823,409,1307,2021-01-24
