"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,1065,5,1103,2021-04-30
"20 - 24",7,355,1,363,2021-04-30
"25 - 29",14,621,2,637,2021-04-30
"30 - 34",27,896,9,932,2021-04-30
"35 - 39",49,1038,9,1096,2021-04-30
"40 - 44",49,1366,11,1426,2021-04-30
"45 - 49",104,2284,24,2412,2021-04-30
"50 - 54",140,3604,66,3810,2021-04-30
"55 - 59",167,4496,114,4777,2021-04-30
"60 - 64",196,4696,215,5107,2021-04-30
"65 - 69",250,4570,451,5271,2021-04-30
"70 - 74",267,5604,955,6826,2021-04-30
"75 - 79",261,5311,1608,7180,2021-04-30
"80 - 84",125,4288,1844,6257,2021-04-30
"85 - 89",58,2643,1398,4099,2021-04-30
">90",32,1140,575,1747,2021-04-30
