"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",20,771,4,795,2021-02-13
"20 - 24",6,256,0,262,2021-02-13
"25 - 29",7,455,2,464,2021-02-13
"30 - 34",19,609,4,632,2021-02-13
"35 - 39",15,717,8,740,2021-02-13
"40 - 44",27,934,8,969,2021-02-13
"45 - 49",47,1553,20,1620,2021-02-13
"50 - 54",79,2495,53,2627,2021-02-13
"55 - 59",98,3106,79,3283,2021-02-13
"60 - 64",139,3410,160,3709,2021-02-13
"65 - 69",153,3302,335,3790,2021-02-13
"70 - 74",211,4076,706,4993,2021-02-13
"75 - 79",241,3961,1174,5376,2021-02-13
"80 - 84",188,3358,1463,5009,2021-02-13
"85 - 89",136,2132,1156,3424,2021-02-13
">90",67,922,465,1454,2021-02-13
