"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",34,1000,5,1039,2021-04-16
"20 - 24",10,329,1,340,2021-04-16
"25 - 29",20,577,2,599,2021-04-16
"30 - 34",30,824,8,862,2021-04-16
"35 - 39",31,969,9,1009,2021-04-16
"40 - 44",54,1260,10,1324,2021-04-16
"45 - 49",80,2097,23,2200,2021-04-16
"50 - 54",122,3343,64,3529,2021-04-16
"55 - 59",169,4149,105,4423,2021-04-16
"60 - 64",170,4443,208,4821,2021-04-16
"65 - 69",213,4250,428,4891,2021-04-16
"70 - 74",240,5267,906,6413,2021-04-16
"75 - 79",238,5014,1533,6785,2021-04-16
"80 - 84",134,4160,1799,6093,2021-04-16
"85 - 89",76,2589,1370,4035,2021-04-16
">90",20,1111,569,1700,2021-04-16
