"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,1081,5,1119,2021-05-04
"20 - 24",11,357,1,369,2021-05-04
"25 - 29",16,632,2,650,2021-05-04
"30 - 34",39,914,9,962,2021-05-04
"35 - 39",52,1065,9,1126,2021-05-04
"40 - 44",50,1395,11,1456,2021-05-04
"45 - 49",90,2353,24,2467,2021-05-04
"50 - 54",145,3673,68,3886,2021-05-04
"55 - 59",179,4587,118,4884,2021-05-04
"60 - 64",181,4794,216,5191,2021-05-04
"65 - 69",250,4655,460,5365,2021-05-04
"70 - 74",254,5691,972,6917,2021-05-04
"75 - 79",272,5371,1630,7273,2021-05-04
"80 - 84",147,4311,1856,6314,2021-05-04
"85 - 89",68,2650,1402,4120,2021-05-04
">90",33,1145,580,1758,2021-05-04
