"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",23,779,4,806,2021-02-17
"20 - 24",9,261,0,270,2021-02-17
"25 - 29",14,456,2,472,2021-02-17
"30 - 34",18,617,4,639,2021-02-17
"35 - 39",16,722,8,746,2021-02-17
"40 - 44",36,939,8,983,2021-02-17
"45 - 49",51,1576,20,1647,2021-02-17
"50 - 54",82,2532,55,2669,2021-02-17
"55 - 59",102,3158,79,3339,2021-02-17
"60 - 64",142,3460,162,3764,2021-02-17
"65 - 69",144,3361,344,3849,2021-02-17
"70 - 74",204,4136,722,5062,2021-02-17
"75 - 79",242,4016,1199,5457,2021-02-17
"80 - 84",198,3415,1494,5107,2021-02-17
"85 - 89",136,2166,1170,3472,2021-02-17
">90",63,936,482,1481,2021-02-17
