"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",27,760,4,791,2021-01-13
"20 - 24",9,237,0,246,2021-01-13
"25 - 29",18,404,3,425,2021-01-13
"30 - 34",20,539,3,562,2021-01-13
"35 - 39",24,648,9,681,2021-01-13
"40 - 44",24,842,5,871,2021-01-13
"45 - 49",60,1378,19,1457,2021-01-13
"50 - 54",94,2185,48,2327,2021-01-13
"55 - 59",114,2674,66,2854,2021-01-13
"60 - 64",178,2907,134,3219,2021-01-13
"65 - 69",185,2871,282,3338,2021-01-13
"70 - 74",299,3499,595,4393,2021-01-13
"75 - 79",318,3401,991,4710,2021-01-13
"80 - 84",303,2828,1228,4359,2021-01-13
"85 - 89",181,1804,980,2965,2021-01-13
">90",92,768,370,1230,2021-01-13
