"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",21,799,4,824,2021-01-27
"20 - 24",5,251,0,256,2021-01-27
"25 - 29",15,430,3,448,2021-01-27
"30 - 34",18,576,3,597,2021-01-27
"35 - 39",26,674,9,709,2021-01-27
"40 - 44",24,882,9,915,2021-01-27
"45 - 49",45,1468,19,1532,2021-01-27
"50 - 54",83,2344,50,2477,2021-01-27
"55 - 59",114,2891,70,3075,2021-01-27
"60 - 64",172,3151,145,3468,2021-01-27
"65 - 69",176,3080,307,3563,2021-01-27
"70 - 74",255,3789,649,4693,2021-01-27
"75 - 79",244,3678,1088,5010,2021-01-27
"80 - 84",251,3105,1358,4714,2021-01-27
"85 - 89",153,1970,1061,3184,2021-01-27
">90",67,840,419,1326,2021-01-27
