"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",22,765,4,791,2021-02-09
"20 - 24",2,254,0,256,2021-02-09
"25 - 29",6,453,2,461,2021-02-09
"30 - 34",18,602,3,623,2021-02-09
"35 - 39",26,702,8,736,2021-02-09
"40 - 44",28,914,8,950,2021-02-09
"45 - 49",61,1524,20,1605,2021-02-09
"50 - 54",86,2452,52,2590,2021-02-09
"55 - 59",120,3038,76,3234,2021-02-09
"60 - 64",141,3345,158,3644,2021-02-09
"65 - 69",151,3241,333,3725,2021-02-09
"70 - 74",214,4000,695,4909,2021-02-09
"75 - 79",266,3872,1156,5294,2021-02-09
"80 - 84",210,3283,1445,4938,2021-02-09
"85 - 89",142,2086,1132,3360,2021-02-09
">90",82,894,452,1428,2021-02-09
