"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",40,982,5,1027,2021-04-12
"20 - 24",7,327,1,335,2021-04-12
"25 - 29",23,560,2,585,2021-04-12
"30 - 34",31,804,7,842,2021-04-12
"35 - 39",37,938,9,984,2021-04-12
"40 - 44",49,1232,10,1291,2021-04-12
"45 - 49",87,2050,23,2160,2021-04-12
"50 - 54",124,3276,63,3463,2021-04-12
"55 - 59",167,4059,105,4331,2021-04-12
"60 - 64",183,4366,206,4755,2021-04-12
"65 - 69",215,4163,426,4804,2021-04-12
"70 - 74",241,5175,888,6304,2021-04-12
"75 - 79",267,4912,1505,6684,2021-04-12
"80 - 84",160,4116,1774,6050,2021-04-12
"85 - 89",75,2566,1362,4003,2021-04-12
">90",30,1104,563,1697,2021-04-12
