"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",40,944,5,989,2021-04-04
"20 - 24",6,315,1,322,2021-04-04
"25 - 29",17,542,2,561,2021-04-04
"30 - 34",22,769,7,798,2021-04-04
"35 - 39",28,891,9,928,2021-04-04
"40 - 44",42,1178,10,1230,2021-04-04
"45 - 49",71,1967,21,2059,2021-04-04
"50 - 54",129,3127,63,3319,2021-04-04
"55 - 59",142,3900,97,4139,2021-04-04
"60 - 64",175,4202,196,4573,2021-04-04
"65 - 69",193,4006,414,4613,2021-04-04
"70 - 74",236,4981,870,6087,2021-04-04
"75 - 79",246,4762,1452,6460,2021-04-04
"80 - 84",162,4032,1740,5934,2021-04-04
"85 - 89",76,2531,1340,3947,2021-04-04
">90",34,1085,553,1672,2021-04-04
