"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",25,783,4,812,2021-01-22
"20 - 24",8,246,0,254,2021-01-22
"25 - 29",17,420,3,440,2021-01-22
"30 - 34",18,565,3,586,2021-01-22
"35 - 39",25,659,9,693,2021-01-22
"40 - 44",29,861,9,899,2021-01-22
"45 - 49",48,1439,19,1506,2021-01-22
"50 - 54",99,2292,50,2441,2021-01-22
"55 - 59",133,2810,68,3011,2021-01-22
"60 - 64",159,3066,141,3366,2021-01-22
"65 - 69",190,3014,297,3501,2021-01-22
"70 - 74",277,3692,629,4598,2021-01-22
"75 - 79",268,3587,1060,4915,2021-01-22
"80 - 84",257,3026,1321,4604,2021-01-22
"85 - 89",158,1918,1032,3108,2021-01-22
">90",73,820,404,1297,2021-01-22
