"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",50,724,3,777,2021-01-04
"20 - 24",13,224,0,237,2021-01-04
"25 - 29",14,389,3,406,2021-01-04
"30 - 34",20,519,3,542,2021-01-04
"35 - 39",36,605,9,650,2021-01-04
"40 - 44",38,790,4,832,2021-01-04
"45 - 49",61,1298,19,1378,2021-01-04
"50 - 54",115,2037,47,2199,2021-01-04
"55 - 59",160,2479,63,2702,2021-01-04
"60 - 64",187,2710,125,3022,2021-01-04
"65 - 69",209,2669,260,3138,2021-01-04
"70 - 74",335,3230,545,4110,2021-01-04
"75 - 79",373,3143,924,4440,2021-01-04
"80 - 84",359,2599,1125,4083,2021-01-04
"85 - 89",220,1652,900,2772,2021-01-04
">90",91,713,338,1142,2021-01-04
