"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",20,825,4,849,2021-03-03
"20 - 24",7,279,0,286,2021-03-03
"25 - 29",18,476,2,496,2021-03-03
"30 - 34",26,646,5,677,2021-03-03
"35 - 39",26,755,8,789,2021-03-03
"40 - 44",39,1014,8,1061,2021-03-03
"45 - 49",57,1674,21,1752,2021-03-03
"50 - 54",89,2684,57,2830,2021-03-03
"55 - 59",114,3355,85,3554,2021-03-03
"60 - 64",131,3659,178,3968,2021-03-03
"65 - 69",153,3531,375,4059,2021-03-03
"70 - 74",196,4376,769,5341,2021-03-03
"75 - 79",197,4247,1276,5720,2021-03-03
"80 - 84",193,3643,1583,5419,2021-03-03
"85 - 89",99,2304,1258,3661,2021-03-03
">90",56,993,511,1560,2021-03-03
