"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",41,1187,6,1234,2021-05-29
"20 - 24",7,407,3,417,2021-05-29
"25 - 29",17,691,2,710,2021-05-29
"30 - 34",22,1027,10,1059,2021-05-29
"35 - 39",18,1201,11,1230,2021-05-29
"40 - 44",23,1548,12,1583,2021-05-29
"45 - 49",63,2636,24,2723,2021-05-29
"50 - 54",91,4147,72,4310,2021-05-29
"55 - 59",96,5112,126,5334,2021-05-29
"60 - 64",77,5185,232,5494,2021-05-29
"65 - 69",89,5161,492,5742,2021-05-29
"70 - 74",109,6115,1031,7255,2021-05-29
"75 - 79",117,5722,1697,7536,2021-05-29
"80 - 84",86,4468,1923,6477,2021-05-29
"85 - 89",38,2733,1427,4198,2021-05-29
">90",24,1192,596,1812,2021-05-29
