"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",21,752,4,777,2021-02-05
"20 - 24",2,253,0,255,2021-02-05
"25 - 29",12,443,2,457,2021-02-05
"30 - 34",18,591,3,612,2021-02-05
"35 - 39",28,689,8,725,2021-02-05
"40 - 44",27,903,8,938,2021-02-05
"45 - 49",50,1505,20,1575,2021-02-05
"50 - 54",93,2414,50,2557,2021-02-05
"55 - 59",123,2984,73,3180,2021-02-05
"60 - 64",145,3298,154,3597,2021-02-05
"65 - 69",154,3187,328,3669,2021-02-05
"70 - 74",216,3944,674,4834,2021-02-05
"75 - 79",267,3803,1132,5202,2021-02-05
"80 - 84",235,3228,1423,4886,2021-02-05
"85 - 89",137,2051,1110,3298,2021-02-05
">90",80,876,443,1399,2021-02-05
