"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",21,809,4,834,2021-02-23
"20 - 24",10,270,0,280,2021-02-23
"25 - 29",12,466,2,480,2021-02-23
"30 - 34",13,635,5,653,2021-02-23
"35 - 39",26,736,8,770,2021-02-23
"40 - 44",32,973,8,1013,2021-02-23
"45 - 49",56,1615,20,1691,2021-02-23
"50 - 54",84,2603,57,2744,2021-02-23
"55 - 59",101,3249,82,3432,2021-02-23
"60 - 64",124,3562,172,3858,2021-02-23
"65 - 69",137,3445,363,3945,2021-02-23
"70 - 74",224,4244,744,5212,2021-02-23
"75 - 79",223,4131,1242,5596,2021-02-23
"80 - 84",218,3520,1538,5276,2021-02-23
"85 - 89",150,2229,1211,3590,2021-02-23
">90",57,970,495,1522,2021-02-23
