"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",46,1073,5,1124,2021-05-03
"20 - 24",8,357,1,366,2021-05-03
"25 - 29",17,627,2,646,2021-05-03
"30 - 34",37,906,9,952,2021-05-03
"35 - 39",49,1056,9,1114,2021-05-03
"40 - 44",47,1387,11,1445,2021-05-03
"45 - 49",89,2332,24,2445,2021-05-03
"50 - 54",145,3651,67,3863,2021-05-03
"55 - 59",171,4552,115,4838,2021-05-03
"60 - 64",185,4753,215,5153,2021-05-03
"65 - 69",251,4631,456,5338,2021-05-03
"70 - 74",252,5660,971,6883,2021-05-03
"75 - 79",276,5345,1620,7241,2021-05-03
"80 - 84",142,4302,1852,6296,2021-05-03
"85 - 89",69,2646,1400,4115,2021-05-03
">90",30,1143,580,1753,2021-05-03
