"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",38,1228,7,1273,2021-06-08
"20 - 24",5,413,3,421,2021-06-08
"25 - 29",14,703,2,719,2021-06-08
"30 - 34",19,1053,11,1083,2021-06-08
"35 - 39",18,1235,11,1264,2021-06-08
"40 - 44",24,1582,12,1618,2021-06-08
"45 - 49",47,2698,25,2770,2021-06-08
"50 - 54",72,4246,72,4390,2021-06-08
"55 - 59",83,5226,126,5435,2021-06-08
"60 - 64",63,5262,237,5562,2021-06-08
"65 - 69",77,5218,496,5791,2021-06-08
"70 - 74",90,6167,1044,7301,2021-06-08
"75 - 79",83,5783,1709,7575,2021-06-08
"80 - 84",72,4503,1942,6517,2021-06-08
"85 - 89",34,2753,1437,4224,2021-06-08
">90",16,1206,598,1820,2021-06-08
