"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",30,1222,6,1258,2021-06-05
"20 - 24",5,412,3,420,2021-06-05
"25 - 29",18,700,2,720,2021-06-05
"30 - 34",16,1049,11,1076,2021-06-05
"35 - 39",22,1225,11,1258,2021-06-05
"40 - 44",28,1568,12,1608,2021-06-05
"45 - 49",42,2685,25,2752,2021-06-05
"50 - 54",69,4226,72,4367,2021-06-05
"55 - 59",92,5197,127,5416,2021-06-05
"60 - 64",63,5251,238,5552,2021-06-05
"65 - 69",76,5211,495,5782,2021-06-05
"70 - 74",90,6172,1040,7302,2021-06-05
"75 - 79",81,5777,1706,7564,2021-06-05
"80 - 84",79,4501,1933,6513,2021-06-05
"85 - 89",38,2751,1436,4225,2021-06-05
">90",19,1208,597,1824,2021-06-05
