"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",32,1258,6,1296,2021-06-22
"20 - 24",4,424,3,431,2021-06-22
"25 - 29",9,717,2,728,2021-06-22
"30 - 34",7,1078,10,1095,2021-06-22
"35 - 39",12,1262,11,1285,2021-06-22
"40 - 44",10,1614,12,1636,2021-06-22
"45 - 49",13,2758,25,2796,2021-06-22
"50 - 54",42,4313,73,4428,2021-06-22
"55 - 59",33,5307,128,5468,2021-06-22
"60 - 64",40,5309,239,5588,2021-06-22
"65 - 69",36,5276,498,5810,2021-06-22
"70 - 74",53,6216,1055,7324,2021-06-22
"75 - 79",53,5823,1720,7596,2021-06-22
"80 - 84",40,4534,1952,6526,2021-06-22
"85 - 89",22,2780,1441,4243,2021-06-22
">90",10,1215,600,1825,2021-06-22
