"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",32,740,4,776,2021-01-07
"20 - 24",6,231,0,237,2021-01-07
"25 - 29",18,391,3,412,2021-01-07
"30 - 34",16,525,3,544,2021-01-07
"35 - 39",37,620,9,666,2021-01-07
"40 - 44",34,808,5,847,2021-01-07
"45 - 49",62,1326,19,1407,2021-01-07
"50 - 54",110,2096,47,2253,2021-01-07
"55 - 59",127,2562,63,2752,2021-01-07
"60 - 64",170,2790,128,3088,2021-01-07
"65 - 69",203,2741,263,3207,2021-01-07
"70 - 74",317,3334,567,4218,2021-01-07
"75 - 79",328,3242,951,4521,2021-01-07
"80 - 84",341,2689,1168,4198,2021-01-07
"85 - 89",216,1704,927,2847,2021-01-07
">90",87,731,349,1167,2021-01-07
