"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",37,853,4,894,2021-03-12
"20 - 24",5,286,1,292,2021-03-12
"25 - 29",18,483,2,503,2021-03-12
"30 - 34",23,680,5,708,2021-03-12
"35 - 39",24,788,8,820,2021-03-12
"40 - 44",29,1056,8,1093,2021-03-12
"45 - 49",57,1739,21,1817,2021-03-12
"50 - 54",98,2779,57,2934,2021-03-12
"55 - 59",140,3477,91,3708,2021-03-12
"60 - 64",133,3777,181,4091,2021-03-12
"65 - 69",153,3644,388,4185,2021-03-12
"70 - 74",215,4520,790,5525,2021-03-12
"75 - 79",202,4376,1320,5898,2021-03-12
"80 - 84",170,3768,1625,5563,2021-03-12
"85 - 89",93,2377,1284,3754,2021-03-12
">90",47,1021,518,1586,2021-03-12
