"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",38,1031,5,1074,2021-04-23
"20 - 24",11,345,1,357,2021-04-23
"25 - 29",22,606,2,630,2021-04-23
"30 - 34",23,859,9,891,2021-04-23
"35 - 39",42,1000,9,1051,2021-04-23
"40 - 44",49,1318,10,1377,2021-04-23
"45 - 49",86,2197,23,2306,2021-04-23
"50 - 54",133,3466,65,3664,2021-04-23
"55 - 59",196,4310,110,4616,2021-04-23
"60 - 64",171,4577,209,4957,2021-04-23
"65 - 69",222,4423,439,5084,2021-04-23
"70 - 74",278,5432,929,6639,2021-04-23
"75 - 79",261,5155,1571,6987,2021-04-23
"80 - 84",120,4221,1823,6164,2021-04-23
"85 - 89",62,2615,1385,4062,2021-04-23
">90",32,1124,571,1727,2021-04-23
