"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",40,1013,5,1058,2021-04-20
"20 - 24",9,336,1,346,2021-04-20
"25 - 29",31,593,2,626,2021-04-20
"30 - 34",27,843,9,879,2021-04-20
"35 - 39",33,988,9,1030,2021-04-20
"40 - 44",45,1295,10,1350,2021-04-20
"45 - 49",85,2146,23,2254,2021-04-20
"50 - 54",143,3398,64,3605,2021-04-20
"55 - 59",171,4242,109,4522,2021-04-20
"60 - 64",191,4506,209,4906,2021-04-20
"65 - 69",242,4333,434,5009,2021-04-20
"70 - 74",281,5335,921,6537,2021-04-20
"75 - 79",271,5074,1552,6897,2021-04-20
"80 - 84",126,4194,1808,6128,2021-04-20
"85 - 89",66,2603,1380,4049,2021-04-20
">90",28,1115,570,1713,2021-04-20
