"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",28,743,4,775,2021-01-08
"20 - 24",6,232,0,238,2021-01-08
"25 - 29",14,393,3,410,2021-01-08
"30 - 34",17,528,4,549,2021-01-08
"35 - 39",34,626,9,669,2021-01-08
"40 - 44",32,817,5,854,2021-01-08
"45 - 49",50,1340,19,1409,2021-01-08
"50 - 54",102,2113,47,2262,2021-01-08
"55 - 59",136,2580,63,2779,2021-01-08
"60 - 64",165,2806,130,3101,2021-01-08
"65 - 69",197,2766,264,3227,2021-01-08
"70 - 74",293,3371,573,4237,2021-01-08
"75 - 79",324,3270,958,4552,2021-01-08
"80 - 84",323,2722,1178,4223,2021-01-08
"85 - 89",200,1719,937,2856,2021-01-08
">90",81,738,351,1170,2021-01-08
