"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",23,783,4,810,2021-02-18
"20 - 24",6,265,0,271,2021-02-18
"25 - 29",12,457,2,471,2021-02-18
"30 - 34",19,618,4,641,2021-02-18
"35 - 39",20,723,8,751,2021-02-18
"40 - 44",35,944,8,987,2021-02-18
"45 - 49",49,1583,20,1652,2021-02-18
"50 - 54",91,2543,55,2689,2021-02-18
"55 - 59",101,3167,79,3347,2021-02-18
"60 - 64",134,3475,164,3773,2021-02-18
"65 - 69",134,3368,344,3846,2021-02-18
"70 - 74",212,4148,724,5084,2021-02-18
"75 - 79",244,4027,1203,5474,2021-02-18
"80 - 84",205,3428,1500,5133,2021-02-18
"85 - 89",135,2173,1174,3482,2021-02-18
">90",61,940,483,1484,2021-02-18
