"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,869,4,906,2021-03-14
"20 - 24",6,286,1,293,2021-03-14
"25 - 29",18,483,2,503,2021-03-14
"30 - 34",24,687,5,716,2021-03-14
"35 - 39",24,793,8,825,2021-03-14
"40 - 44",32,1057,8,1097,2021-03-14
"45 - 49",64,1745,21,1830,2021-03-14
"50 - 54",95,2797,58,2950,2021-03-14
"55 - 59",118,3510,92,3720,2021-03-14
"60 - 64",150,3800,182,4132,2021-03-14
"65 - 69",165,3666,389,4220,2021-03-14
"70 - 74",229,4539,794,5562,2021-03-14
"75 - 79",213,4396,1325,5934,2021-03-14
"80 - 84",170,3781,1635,5586,2021-03-14
"85 - 89",92,2386,1287,3765,2021-03-14
">90",42,1028,519,1589,2021-03-14
