"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",29,912,4,945,2021-03-28
"20 - 24",4,306,1,311,2021-03-28
"25 - 29",18,521,2,541,2021-03-28
"30 - 34",19,743,6,768,2021-03-28
"35 - 39",33,854,8,895,2021-03-28
"40 - 44",47,1130,10,1187,2021-03-28
"45 - 49",87,1884,21,1992,2021-03-28
"50 - 54",128,3006,60,3194,2021-03-28
"55 - 59",142,3757,95,3994,2021-03-28
"60 - 64",171,4042,191,4404,2021-03-28
"65 - 69",168,3893,405,4466,2021-03-28
"70 - 74",240,4799,840,5879,2021-03-28
"75 - 79",234,4631,1405,6270,2021-03-28
"80 - 84",178,3947,1694,5819,2021-03-28
"85 - 89",89,2487,1317,3893,2021-03-28
">90",47,1058,542,1647,2021-03-28
