"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",25,909,4,938,2021-03-25
"20 - 24",5,300,1,306,2021-03-25
"25 - 29",20,511,2,533,2021-03-25
"30 - 34",23,731,6,760,2021-03-25
"35 - 39",28,841,8,877,2021-03-25
"40 - 44",53,1112,10,1175,2021-03-25
"45 - 49",79,1855,21,1955,2021-03-25
"50 - 54",126,2962,59,3147,2021-03-25
"55 - 59",150,3699,95,3944,2021-03-25
"60 - 64",184,3997,190,4371,2021-03-25
"65 - 69",160,3861,403,4424,2021-03-25
"70 - 74",228,4759,834,5821,2021-03-25
"75 - 79",236,4597,1390,6223,2021-03-25
"80 - 84",182,3917,1685,5784,2021-03-25
"85 - 89",95,2463,1312,3870,2021-03-25
">90",42,1054,536,1632,2021-03-25
