"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",41,1047,5,1093,2021-04-27
"20 - 24",8,352,1,361,2021-04-27
"25 - 29",17,612,2,631,2021-04-27
"30 - 34",35,874,9,918,2021-04-27
"35 - 39",50,1012,9,1071,2021-04-27
"40 - 44",47,1342,10,1399,2021-04-27
"45 - 49",91,2236,24,2351,2021-04-27
"50 - 54",117,3528,66,3711,2021-04-27
"55 - 59",180,4392,112,4684,2021-04-27
"60 - 64",187,4622,213,5022,2021-04-27
"65 - 69",232,4488,443,5163,2021-04-27
"70 - 74",280,5506,937,6723,2021-04-27
"75 - 79",283,5219,1585,7087,2021-04-27
"80 - 84",135,4250,1833,6218,2021-04-27
"85 - 89",62,2627,1392,4081,2021-04-27
">90",29,1134,573,1736,2021-04-27
