"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",22,813,4,839,2021-02-28
"20 - 24",8,275,0,283,2021-02-28
"25 - 29",14,473,2,489,2021-02-28
"30 - 34",20,644,5,669,2021-02-28
"35 - 39",20,747,8,775,2021-02-28
"40 - 44",36,996,8,1040,2021-02-28
"45 - 49",54,1647,21,1722,2021-02-28
"50 - 54",79,2646,57,2782,2021-02-28
"55 - 59",101,3320,83,3504,2021-02-28
"60 - 64",111,3623,175,3909,2021-02-28
"65 - 69",151,3494,372,4017,2021-02-28
"70 - 74",200,4325,756,5281,2021-02-28
"75 - 79",184,4214,1259,5657,2021-02-28
"80 - 84",203,3590,1565,5358,2021-02-28
"85 - 89",107,2273,1243,3623,2021-02-28
">90",46,988,504,1538,2021-02-28
