"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",30,1275,6,1311,2021-07-02
"20 - 24",1,429,3,433,2021-07-02
"25 - 29",8,725,2,735,2021-07-02
"30 - 34",3,1081,10,1094,2021-07-02
"35 - 39",8,1272,11,1291,2021-07-02
"40 - 44",8,1624,12,1644,2021-07-02
"45 - 49",10,2766,25,2801,2021-07-02
"50 - 54",33,4332,73,4438,2021-07-02
"55 - 59",24,5327,128,5479,2021-07-02
"60 - 64",17,5332,239,5588,2021-07-02
"65 - 69",25,5286,500,5811,2021-07-02
"70 - 74",39,6231,1056,7326,2021-07-02
"75 - 79",31,5844,1723,7598,2021-07-02
"80 - 84",26,4547,1957,6530,2021-07-02
"85 - 89",25,2783,1442,4250,2021-07-02
">90",7,1218,602,1827,2021-07-02
