"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",32,1153,6,1191,2021-05-20
"20 - 24",14,388,2,404,2021-05-20
"25 - 29",13,670,2,685,2021-05-20
"30 - 34",13,1008,10,1031,2021-05-20
"35 - 39",30,1167,10,1207,2021-05-20
"40 - 44",34,1504,11,1549,2021-05-20
"45 - 49",64,2557,24,2645,2021-05-20
"50 - 54",128,4005,71,4204,2021-05-20
"55 - 59",136,4973,123,5232,2021-05-20
"60 - 64",122,5073,226,5421,2021-05-20
"65 - 69",147,5029,481,5657,2021-05-20
"70 - 74",170,6004,1010,7184,2021-05-20
"75 - 79",163,5642,1680,7485,2021-05-20
"80 - 84",103,4421,1904,6428,2021-05-20
"85 - 89",48,2711,1423,4182,2021-05-20
">90",25,1180,592,1797,2021-05-20
