"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",32,1247,7,1286,2021-06-16
"20 - 24",2,419,3,424,2021-06-16
"25 - 29",13,713,2,728,2021-06-16
"30 - 34",7,1073,10,1090,2021-06-16
"35 - 39",10,1253,11,1274,2021-06-16
"40 - 44",17,1598,12,1627,2021-06-16
"45 - 49",22,2744,25,2791,2021-06-16
"50 - 54",45,4301,72,4418,2021-06-16
"55 - 59",57,5281,128,5466,2021-06-16
"60 - 64",38,5293,239,5570,2021-06-16
"65 - 69",44,5260,498,5802,2021-06-16
"70 - 74",58,6200,1050,7308,2021-06-16
"75 - 79",57,5811,1717,7585,2021-06-16
"80 - 84",48,4520,1948,6516,2021-06-16
"85 - 89",23,2770,1438,4231,2021-06-16
">90",14,1210,599,1823,2021-06-16
