"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",31,1160,6,1197,2021-05-22
"20 - 24",11,394,2,407,2021-05-22
"25 - 29",17,673,2,692,2021-05-22
"30 - 34",19,1008,10,1037,2021-05-22
"35 - 39",26,1180,10,1216,2021-05-22
"40 - 44",34,1515,11,1560,2021-05-22
"45 - 49",74,2568,24,2666,2021-05-22
"50 - 54",119,4038,71,4228,2021-05-22
"55 - 59",129,5004,125,5258,2021-05-22
"60 - 64",108,5103,227,5438,2021-05-22
"65 - 69",133,5059,482,5674,2021-05-22
"70 - 74",166,6030,1015,7211,2021-05-22
"75 - 79",152,5658,1687,7497,2021-05-22
"80 - 84",95,4433,1908,6436,2021-05-22
"85 - 89",39,2717,1425,4181,2021-05-22
">90",20,1185,594,1799,2021-05-22
