"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",50,727,3,780,2021-01-05
"20 - 24",12,227,0,239,2021-01-05
"25 - 29",11,389,3,403,2021-01-05
"30 - 34",20,521,3,544,2021-01-05
"35 - 39",38,613,9,660,2021-01-05
"40 - 44",41,796,4,841,2021-01-05
"45 - 49",72,1305,19,1396,2021-01-05
"50 - 54",122,2058,47,2227,2021-01-05
"55 - 59",150,2501,63,2714,2021-01-05
"60 - 64",191,2731,128,3050,2021-01-05
"65 - 69",212,2693,262,3167,2021-01-05
"70 - 74",339,3259,553,4151,2021-01-05
"75 - 79",360,3174,934,4468,2021-01-05
"80 - 84",376,2620,1141,4137,2021-01-05
"85 - 89",231,1665,911,2807,2021-01-05
">90",94,717,344,1155,2021-01-05
