"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",35,1233,7,1275,2021-06-09
"20 - 24",6,413,3,422,2021-06-09
"25 - 29",15,703,2,720,2021-06-09
"30 - 34",17,1055,11,1083,2021-06-09
"35 - 39",15,1239,11,1265,2021-06-09
"40 - 44",19,1586,12,1617,2021-06-09
"45 - 49",47,2704,25,2776,2021-06-09
"50 - 54",68,4254,72,4394,2021-06-09
"55 - 59",83,5234,126,5443,2021-06-09
"60 - 64",62,5265,237,5564,2021-06-09
"65 - 69",76,5221,496,5793,2021-06-09
"70 - 74",89,6172,1045,7306,2021-06-09
"75 - 79",78,5787,1711,7576,2021-06-09
"80 - 84",68,4505,1944,6517,2021-06-09
"85 - 89",30,2757,1437,4224,2021-06-09
">90",17,1206,598,1821,2021-06-09
