"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",51,727,4,782,2021-01-06
"20 - 24",12,228,0,240,2021-01-06
"25 - 29",14,389,3,406,2021-01-06
"30 - 34",19,522,3,544,2021-01-06
"35 - 39",41,616,9,666,2021-01-06
"40 - 44",40,798,5,843,2021-01-06
"45 - 49",73,1309,19,1401,2021-01-06
"50 - 54",119,2078,47,2244,2021-01-06
"55 - 59",148,2522,63,2733,2021-01-06
"60 - 64",180,2762,128,3070,2021-01-06
"65 - 69",209,2710,262,3181,2021-01-06
"70 - 74",332,3288,561,4181,2021-01-06
"75 - 79",330,3204,946,4480,2021-01-06
"80 - 84",368,2642,1148,4158,2021-01-06
"85 - 89",229,1685,917,2831,2021-01-06
">90",87,726,347,1160,2021-01-06
