"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",25,801,4,830,2021-01-28
"20 - 24",7,251,0,258,2021-01-28
"25 - 29",14,433,3,450,2021-01-28
"30 - 34",13,580,3,596,2021-01-28
"35 - 39",25,677,9,711,2021-01-28
"40 - 44",22,885,9,916,2021-01-28
"45 - 49",43,1475,19,1537,2021-01-28
"50 - 54",81,2355,50,2486,2021-01-28
"55 - 59",105,2903,70,3078,2021-01-28
"60 - 64",165,3174,146,3485,2021-01-28
"65 - 69",178,3094,311,3583,2021-01-28
"70 - 74",247,3817,654,4718,2021-01-28
"75 - 79",245,3700,1095,5040,2021-01-28
"80 - 84",240,3126,1372,4738,2021-01-28
"85 - 89",161,1978,1066,3205,2021-01-28
">90",64,849,420,1333,2021-01-28
