"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",37,1162,6,1205,2021-05-24
"20 - 24",13,397,2,412,2021-05-24
"25 - 29",19,673,2,694,2021-05-24
"30 - 34",21,1012,10,1043,2021-05-24
"35 - 39",22,1186,10,1218,2021-05-24
"40 - 44",35,1521,11,1567,2021-05-24
"45 - 49",78,2581,24,2683,2021-05-24
"50 - 54",104,4057,71,4232,2021-05-24
"55 - 59",137,5021,125,5283,2021-05-24
"60 - 64",100,5121,227,5448,2021-05-24
"65 - 69",121,5078,485,5684,2021-05-24
"70 - 74",160,6043,1021,7224,2021-05-24
"75 - 79",149,5664,1688,7501,2021-05-24
"80 - 84",90,4436,1912,6438,2021-05-24
"85 - 89",46,2718,1425,4189,2021-05-24
">90",20,1186,594,1800,2021-05-24
