"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",18,777,4,799,2021-02-15
"20 - 24",9,258,0,267,2021-02-15
"25 - 29",9,455,2,466,2021-02-15
"30 - 34",17,613,4,634,2021-02-15
"35 - 39",17,720,8,745,2021-02-15
"40 - 44",35,934,8,977,2021-02-15
"45 - 49",55,1564,20,1639,2021-02-15
"50 - 54",88,2510,54,2652,2021-02-15
"55 - 59",93,3130,79,3302,2021-02-15
"60 - 64",129,3434,161,3724,2021-02-15
"65 - 69",154,3328,340,3822,2021-02-15
"70 - 74",222,4092,717,5031,2021-02-15
"75 - 79",234,3993,1185,5412,2021-02-15
"80 - 84",195,3375,1477,5047,2021-02-15
"85 - 89",147,2146,1163,3456,2021-02-15
">90",69,929,474,1472,2021-02-15
