"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",39,1101,5,1145,2021-05-08
"20 - 24",7,369,1,377,2021-05-08
"25 - 29",20,642,2,664,2021-05-08
"30 - 34",34,945,9,988,2021-05-08
"35 - 39",43,1098,10,1151,2021-05-08
"40 - 44",53,1421,11,1485,2021-05-08
"45 - 49",75,2405,24,2504,2021-05-08
"50 - 54",136,3754,69,3959,2021-05-08
"55 - 59",188,4678,118,4984,2021-05-08
"60 - 64",168,4874,217,5259,2021-05-08
"65 - 69",214,4770,467,5451,2021-05-08
"70 - 74",246,5778,979,7003,2021-05-08
"75 - 79",229,5462,1644,7335,2021-05-08
"80 - 84",127,4343,1874,6344,2021-05-08
"85 - 89",57,2667,1407,4131,2021-05-08
">90",32,1152,583,1767,2021-05-08
