"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",37,999,5,1041,2021-04-15
"20 - 24",9,328,1,338,2021-04-15
"25 - 29",16,577,2,595,2021-04-15
"30 - 34",32,822,8,862,2021-04-15
"35 - 39",31,962,9,1002,2021-04-15
"40 - 44",56,1252,10,1318,2021-04-15
"45 - 49",83,2091,23,2197,2021-04-15
"50 - 54",119,3333,64,3516,2021-04-15
"55 - 59",162,4135,105,4402,2021-04-15
"60 - 64",173,4432,208,4813,2021-04-15
"65 - 69",201,4234,427,4862,2021-04-15
"70 - 74",232,5258,906,6396,2021-04-15
"75 - 79",226,5004,1528,6758,2021-04-15
"80 - 84",140,4154,1795,6089,2021-04-15
"85 - 89",74,2587,1368,4029,2021-04-15
">90",20,1111,569,1700,2021-04-15
