"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",37,586,3,626,2020-11-27
"20 - 24",8,174,0,182,2020-11-27
"25 - 29",10,327,1,338,2020-11-27
"30 - 34",19,410,3,432,2020-11-27
"35 - 39",26,484,7,517,2020-11-27
"40 - 44",36,635,3,674,2020-11-27
"45 - 49",53,1027,15,1095,2020-11-27
"50 - 54",92,1606,36,1734,2020-11-27
"55 - 59",123,1922,48,2093,2020-11-27
"60 - 64",136,2124,96,2356,2020-11-27
"65 - 69",168,2066,187,2421,2020-11-27
"70 - 74",196,2496,415,3107,2020-11-27
"75 - 79",241,2375,698,3314,2020-11-27
"80 - 84",196,1960,884,3040,2020-11-27
"85 - 89",146,1223,669,2038,2020-11-27
">90",55,514,240,809,2020-11-27
